P_images,P_name,P_rank,P_rate,P_status,P_time,P_type,P_url,R_1points,R_2points,R_3points,R_4points,R_5points,R_address,R_content,R_idea,R_name,R_time,Time_who,Total_reviewers
48,Phố Đi Bộ Nguyễn Đình Chiểu,Số 35 trong 90 hoạt động giải trí tại Huế,4.0,Đang đóng cửa,06:00 - 23:00,Điểm thu hút khách tham quan & thắng cảnh,https://www.tripadvisor.com.vn/Attraction_Review-g293926-d12898868-Reviews-Nguyen_Dinh_Chieu_Walking_Street-Hue_Thua_Thien_Hue_Province.html,1,0,16,17,9,"Dania Beach, FL",thg 9 năm 2019,Phố đi bộ Nguyễn Đình Chiểu Huế có nhiều món ngon,XE VIP ĐÀ NẴNG,"Đã viết vào 12 tháng 7, 2019","Cầu Tràng Tiền càng thêm phần quyến rũ hơn khi có ngay phố đi bộ Nguyễn Đình Chiểu hàng đêm thu hút du khách gần xa. Nó đã đồng tâm hiệp lực cùng cầu Tràng Tiền trở thành một trong những địa điểm tham quan và ngắm cảnh mỗi tối. Đặc biệt, ở đây còn bán rất nhiều mặt hàng thủ công, mĩ nghệ, quà lưu niệm đủ loại và những món đặc sản hấp dẫn như chè Cung đình, ốc nóng, bún thịt nướng, bánh mì mang thương hiệu Tràng Tiền, bún hến, bánh lọc, nậm, bèo…Đây quả là điạ điểm cực kỳ tốt cho những ai muốn vừa tản bộ vừa được thưởng thức ẩm thực về đêm tại thành phố Huế thơ mộng.",43
73,The Noon Gate (Cua Ngo Mon),Số 11 trong 90 hoạt động giải trí tại Huế,4.0,Đang đóng cửa,08:00 - 17:00,Điểm thu hút khách tham quan & thắng cảnh,https://www.tripadvisor.com.vn/Attraction_Review-g293926-d451125-Reviews-The_Noon_Gate_Cua_Ngo_Mon-Hue_Thua_Thien_Hue_Province.html,1,3,21,107,73,569 đóng góp,thg 11 năm 2018 • Bạn bè,Ngọ môn - Biểu tượng của Huế,Tran Le,,"Một biểu tượng của cố đô huế, và là nơi không thể bỏ qua nếu bạn đã một lần đến Huế.",205
83,Abandoned Water Park,Số 39 trong 90 hoạt động giải trí tại Huế,4.0,,,Điểm thu hút khách tham quan & thắng cảnh,https://www.tripadvisor.com.vn/Attraction_Review-g293926-d15632400-Reviews-Abandoned_Water_Park-Hue_Thua_Thien_Hue_Province.html,7,2,2,11,20,3 đóng góp,thg 2 năm 2020,A bizarre must do,Gavin S,Đánh giá này là ý kiến chủ quan của thành viên Tripadvisor chứ không phải của TripAdvisor LLC.,"Really good, great to explore and less than 10 people in the whole place and spread out a lot! Most taxi drivers will wait without running the meter too which is a huge bonus if you’re not up for getting a bike or moped.",42
1.897,Tịnh cư Cát Tường Quân,Số 30 trong 90 hoạt động giải trí tại Huế,4.5,Đang đóng cửa,07:00 - 20:00,Điểm thu hút khách tham quan & thắng cảnh,https://www.tripadvisor.com.vn/Attraction_Review-g293926-d5895985-Reviews-Cat_Tuong_Quan_Zen_House-Hue_Thua_Thien_Hue_Province.html,0,0,1,9,26,1 đóng góp,thg 3 năm 2014 • Gia đình,chuyến dã ngoại của gia đình,quockhang14,,,36
88,Huyen Tran Princess Temple,Số 24 trong 90 hoạt động giải trí tại Huế,4.5,,,Điểm thu hút khách tham quan & thắng cảnh,https://www.tripadvisor.com.vn/Attraction_Review-g293926-d6106529-Reviews-Huyen_Tran_Princess_Temple-Hue_Thua_Thien_Hue_Province.html,1,0,2,17,41,"Ayutthaya, Thái Lan",thg 3 năm 2018,Đi để trở lại,Julia96,"Đã viết vào 2 tháng 6, 2018",,61
259,Tu Dam Pagoda,Số 8 trong 90 hoạt động giải trí tại Huế,4.5,,,Điểm thu hút khách tham quan & thắng cảnh,https://www.tripadvisor.com.vn/Attraction_Review-g293926-d4333898-Reviews-Tu_Dam_Pagoda-Hue_Thua_Thien_Hue_Province.html,1,2,48,168,180,"Nagoya, Nhật Bản",thg 10 năm 2019 • Bạn bè,nice,Truong Vivian,"Đã viết vào 19 tháng 11, 2019","ngôi chùa thật cổ kính, nghe nói đây là cái nôi phật giáo huế, có vị trí giữa thành phố nữa. đẹp và cổ kính",399
62,Không Gian Văn Hóa Lục Bộ,Số 19 trong 90 hoạt động giải trí tại Huế,5.0,Đang đóng cửa,08:00 - 17:30,Địa điểm lịch sử • Điểm thu hút khách tham quan & thắng cảnh,https://www.tripadvisor.com.vn/Attraction_Review-g293926-d11680443-Reviews-Luc_Bo_Culture_Space-Hue_Thua_Thien_Hue_Province.html,0,0,0,2,35,"Huế, Việt Nam",thg 2 năm 2018 • Bạn bè,Một không gian đậm đà chất Huế.,Linh_ad30,,,37
64,Nine Dynastic Urns,Số 12 trong 90 hoạt động giải trí tại Huế,4.5,,,Địa điểm lịch sử • Di tích cổ • Điểm thu hút khách tham quan & thắng cảnh,https://www.tripadvisor.com.vn/Attraction_Review-g293926-d600402-Reviews-Nine_Dynastic_Urns-Hue_Thua_Thien_Hue_Province.html,0,1,17,83,74,"Pacific Grove, CA",thg 2 năm 2015,Cửu đỉnh,Phamthuhang1708,,,175
153,The Flag Tower,Số 25 trong 90 hoạt động giải trí tại Huế,3.5,Đang mở cửa,00:00 - 23:59,Địa điểm lịch sử • Điểm thu hút khách tham quan & thắng cảnh,https://www.tripadvisor.com.vn/Attraction_Review-g293926-d451118-Reviews-The_Flag_Tower-Hue_Thua_Thien_Hue_Province.html,4,15,158,82,52,"Tỉnh Phú Yên, Việt Nam",thg 3 năm 2019 • Doanh nghiệp,Không gian đẹp chụp ảnh,Tien Duong,,,311
74,Chùa Từ Hiếu,Số 28 trong 90 hoạt động giải trí tại Huế,4.5,,,Điểm thu hút khách tham quan & thắng cảnh,https://www.tripadvisor.com.vn/Attraction_Review-g293926-d6941969-Reviews-Tu_Hieu_Pagoda-Hue_Thua_Thien_Hue_Province.html,0,0,1,19,21,"Thành phố Hồ Chí Minh, Việt Nam",thg 7 năm 2016 • Một mình,Khong gian iên tinh lang man,Nhà hàng phố cổ,"Đã viết vào 14 tháng 4, 2019",,41
